>Contig807	locus807
>Contig808	locus808
>Contig809	locus809
>Contig810	locus810
>Contig811	locus811
>Contig812	locus812
>Contig813	locus813
>Contig814	locus814
>Contig815	locus815
>Contig816	locus816
>Contig817	locus817
>Contig818	locus818
>Contig819	locus819
>Contig820	locus820
>Contig821	locus821
>Contig822	locus822
>Contig823	locus823
>Contig824	locus824
>Contig825	locus825
>Contig826	locus826
>Contig827	locus827
>Contig828	locus828
>Contig829	locus829
>Contig830	locus830
>Contig831	locus831
>Contig832	locus832
>Contig833	locus833
>Contig834	locus834
>Contig835	locus835
>Contig836	locus836
>Contig837	locus837
>Contig838	locus838
>Contig839	locus839
>Contig840	locus840
>Contig841	locus841
>Contig842	locus842
>Contig843	locus843
>Contig844	locus844
>Contig845	locus845
>Contig846	locus846
>Contig847	locus847
>Contig848	locus848
>Contig849	locus849
>Contig850	locus850
>Contig851	locus851
>Contig852	locus852
>Contig853	locus853
>Contig854	locus854
>Contig855	locus855
>Contig856	locus856
>Contig857	locus857
>Contig858	locus858
>Contig859	locus859
>Contig860	locus860
>Contig861	locus861
>Contig862	locus862
>Contig863	locus863
>Contig864	locus864
>Contig865	locus865
>Contig866	locus866
>Contig867	locus867
>Contig868	locus868
>Contig869	locus869
>Contig870	locus870
>Contig871	locus871
>Contig872	locus872
>Contig873	locus873
>Contig874	locus874
>Contig875	locus875
>Contig876	locus876
>Contig877	locus877
>Contig878	locus878
>Contig879	locus879
>Contig880	locus880
>Contig881	locus881
>Contig882	locus882
>Contig883	locus883
>Contig884	locus884
>Contig885	locus885
>Contig886	locus886
>Contig887	locus887
>Contig888	locus888
>Contig889	locus889
>Contig890	locus890
>Contig891	locus891
>Contig892	locus892
>Contig893	locus893
>Contig894	locus894
>Contig895	locus895
>Contig896	locus896
>Contig897	locus897
>Contig898	locus898
>Contig899	locus899
>Contig900	locus900
>Contig901	locus901
>Contig902	locus902
>Contig903	locus903
>Contig904	locus904
>Contig905	locus905
>Contig906	locus906
>Contig907	locus907
>Contig908	locus908
>Contig909	locus909
>Contig910	locus910
>Contig911	locus911
>Contig912	locus912
>Contig913	locus913
>Contig914	locus914
>Contig915	locus915
>Contig916	locus916
>Contig917	locus917
>Contig918	locus918
>Contig919	locus919
>Contig920	locus920
>Contig921	locus921
>Contig922	locus922
>Contig923	locus923
>Contig924	locus924
>Contig925	locus925
>Contig926	locus926
>Contig927	locus927
>Contig928	locus928
>Contig929	locus929
>Contig930	locus930
>Contig931	locus931
>Contig932	locus932
>Contig933	locus933
>Contig934	locus934
>Contig935	locus935
>Contig936	locus936
>Contig937	locus937
>Contig938	locus938
>Contig939	locus939
>Contig940	locus940
>Contig941	locus941
>Contig942	locus942
>Contig943	locus943
>Contig944	locus944
>Contig945	locus945
>Contig946	locus946
>Contig947	locus947
>Contig948	locus948
>Contig949	locus949
>Contig950	locus950
>Contig951	locus951
>Contig952	locus952
>Contig953	locus953
>Contig954	locus954
>Contig955	locus955
>Contig956	locus956
>Contig957	locus957
>Contig958	locus958
>Contig959	locus959
>Contig960	locus960
>Contig961	locus961
>Contig962	locus962
>Contig963	locus963
>Contig964	locus964
>Contig965	locus965
>Contig966	locus966
>Contig967	locus967
>Contig968	locus968
>Contig969	locus969
>Contig970	locus970
>Contig971	locus971
>Contig972	locus972
>Contig973	locus973
>Contig974	locus974
>Contig975	locus975
>Contig976	locus976
>Contig977	locus977
>Contig978	locus978
>Contig979	locus979
>Contig980	locus980
>Contig981	locus981
>Contig982	locus982
>Contig983	locus983
>Contig984	locus984
>Contig985	locus985
>Contig986	locus986
>Contig987	locus987
>Contig988	locus988
>Contig989	locus989
>Contig990	locus990
>Contig991	locus991
>Contig992	locus992
>Contig993	locus993
>Contig994	locus994
>Contig995	locus995
>Contig996	locus996
>Contig997	locus997
>Contig998	locus998
>Contig999	locus999
>Contig1000	locus1000
>Contig1001	locus1001
>Contig1002	locus1002
>Contig1003	locus1003
>Contig1004	locus1004
>Contig1005	locus1005
>Contig1006	locus1006
>Contig1007	locus1007
>Contig1008	locus1008
>Contig1009	locus1009
>Contig1010	locus1010
>Contig1011	locus1011
>Contig1012	locus1012
>Contig1013	locus1013
>Contig1014	locus1014
>Contig1015	locus1015
>Contig1016	locus1016
>Contig1017	locus1017
>Contig1018	locus1018
